NODE 681 681, DISTANCE: -1
NODE 682 682, DISTANCE: -1
NODE 683 683, DISTANCE: -1
NODE 684 684, DISTANCE: -1
NODE 685 685, DISTANCE: -1
NODE 686 686, DISTANCE: -1
NODE 687 687, DISTANCE: -1
NODE 688 688, DISTANCE: -1
NODE 689 689, DISTANCE: -1
NODE 690 690, DISTANCE: -1
NODE 691 691, DISTANCE: -1
NODE 692 692, DISTANCE: -1
NODE 693 693, DISTANCE: -1
NODE 694 694, DISTANCE: -1
NODE 695 695, DISTANCE: -1
NODE 696 696, DISTANCE: -1
NODE 697 697, DISTANCE: -1
NODE 698 698, DISTANCE: -1
NODE 699 699, DISTANCE: -1
NODE 700 700, DISTANCE: -1
NODE 701 701, DISTANCE: -1
NODE 702 702, DISTANCE: -1
NODE 703 703, DISTANCE: -1
NODE 704 704, DISTANCE: -1
NODE 705 705, DISTANCE: -1
NODE 706 706, DISTANCE: -1
NODE 707 707, DISTANCE: -1
NODE 708 708, DISTANCE: -1
NODE 709 709, DISTANCE: -1
NODE 710 710, DISTANCE: -1
NODE 711 711, DISTANCE: -1
NODE 712 712, DISTANCE: -1
NODE 713 713, DISTANCE: -1
NODE 714 714, DISTANCE: -1
NODE 715 715, DISTANCE: -1
NODE 716 716, DISTANCE: -1
NODE 717 717, DISTANCE: -1
NODE 718 718, DISTANCE: -1
NODE 719 719, DISTANCE: -1
NODE 720 720, DISTANCE: -1
NODE 721 721, DISTANCE: -1
NODE 722 722, DISTANCE: -1
NODE 723 723, DISTANCE: -1
NODE 724 724, DISTANCE: -1
NODE 725 725, DISTANCE: -1
NODE 726 726, DISTANCE: -1
NODE 727 727, DISTANCE: -1
NODE 728 728, DISTANCE: -1
NODE 729 729, DISTANCE: -1
NODE 730 730, DISTANCE: -1
NODE 731 731, DISTANCE: -1
NODE 732 732, DISTANCE: -1
NODE 733 733, DISTANCE: -1
NODE 734 734, DISTANCE: -1
NODE 735 735, DISTANCE: -1
NODE 736 736, DISTANCE: -1
NODE 737 737, DISTANCE: -1
NODE 738 738, DISTANCE: -1
NODE 739 739, DISTANCE: -1
NODE 740 740, DISTANCE: -1
NODE 741 741, DISTANCE: -1
NODE 742 742, DISTANCE: -1
NODE 743 743, DISTANCE: -1
NODE 744 744, DISTANCE: -1
NODE 745 745, DISTANCE: -1
NODE 746 746, DISTANCE: -1
NODE 747 747, DISTANCE: -1
NODE 748 748, DISTANCE: -1
NODE 749 749, DISTANCE: -1
NODE 750 750, DISTANCE: -1
NODE 751 751, DISTANCE: -1
NODE 752 752, DISTANCE: -1
NODE 753 753, DISTANCE: -1
NODE 754 754, DISTANCE: -1
NODE 755 755, DISTANCE: -1
NODE 756 756, DISTANCE: -1
NODE 757 757, DISTANCE: -1
NODE 758 758, DISTANCE: -1
NODE 759 759, DISTANCE: -1
NODE 760 760, DISTANCE: -1
NODE 761 761, DISTANCE: -1
NODE 762 762, DISTANCE: -1
NODE 763 763, DISTANCE: -1
NODE 764 764, DISTANCE: -1
NODE 765 765, DISTANCE: -1
NODE 766 766, DISTANCE: -1
NODE 767 767, DISTANCE: -1
NODE 768 768, DISTANCE: -1
NODE 769 769, DISTANCE: -1
